WORD,ANS,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ISI.started,ISI.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,session,participant,date,expName,psychopyVersion,frameRate,
bag,n,0,0,0,5,0.012681079999310896,1.012681079999311,29.162995499995304,29.37771149999753,n,1,1.4515990000072634,29.3613822000043,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
panda,y,0,1,1,2,0.002348959998926148,1.0023489599989261,31.8770605000027,32.07698119999259,y,1,0.6916892000008374,32.07698119999259,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
table,n,0,2,2,3,0.0027796599897556007,1.0027796599897556,33.826574799997616,34.026314799994,n,1,0.7235638000129256,34.026314799994,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
iphone,n,0,3,3,4,0.012195860006613657,1.0121958600066137,35.7926901000028,35.992410999999265,n,1,0.5296407999994699,35.992410999999265,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
cat,y,0,4,4,0,0.01500906000728719,1.0150090600072872,37.558306299994,37.75840910000261,y,1,0.6047690999985207,37.75840910000261,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
dog,y,0,5,5,1,0.004016020000563003,1.004016020000563,39.39135740000347,39.59116680000443,y,1,0.35519259999273345,39.59116680000443,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
panda,y,1,0,6,2,0.003068620018893853,1.0030686200188939,40.974236299996846,41.17388010000286,y,1,0.4589627999957884,41.17388010000286,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
iphone,n,1,1,7,4,0.0036936200194759294,1.003693620019476,42.65719119999267,42.85678729999927,n,1,0.4435666999925161,42.85678729999927,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
dog,y,1,2,8,1,0.003784220010857098,1.003784220010857,44.32282659999328,44.522855999995954,y,1,0.49453499999071937,44.522855999995954,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
cat,y,1,3,9,0,0.0034221200039610267,1.003422120003961,46.03900989999238,46.23880609999469,y,1,0.3562571000074968,46.23880609999469,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
table,n,1,4,10,3,0.003191720010363497,1.0031917200103635,47.62205710000126,47.82163789999322,n,1,0.37607880000723526,47.82163789999322,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
bag,n,1,5,11,5,0.0042315199971199036,1.00423151999712,49.2212792999926,49.42105289999745,y,0,0.40440629998920485,49.42105289999745,None,001,alvin_local_txt1,2021_Oct_17_0041,animal_detection_txt1,2021.2.3,60.07644126544073,
